location account number,(owners) business name,doing business as :,Business Address,City,Phone #,Address + Phone,Mailing Address,City (mailing),phone #,NAICS #,Industry Tag,Council Tag,Business Start,Business End,Longitute,Latitude
0002962933-0001-8,MARCOS WILFREDO VASQUEZ UZ,PUBLIC STORAGE,10964   GRAPE STREET,LOS ANGELES,90059-2020,10964 GRAPE 90059-2020,POST OFFICE BOX #25025,GLENDALE,91221-5025,233220,Multifamily Housing Construction (1997 NAICS),15,6/1/2016,LOCATION END DATE,"(33.9357, -118.2366)",
0002920639-0001-1,RUBEN CARNATE / MELANIE DOMINGUEZ,LA BEAUTY SALON,4800   MELROSE AVENUE,LOS ANGELES,90029-3730,4800 MELROSE 90029-3730,1805 E LINDA VISTA STREET,WEST COVINA,91791-3509,812111,Barber shops,13,8/1/2016,,"(34.0834, -118.3049)",
0002805614-0001-9,MABELLIN ROSEMARY BARRIOS DE LEON,MB RECYCLING,1820 E 48TH PLACE,VERNON,90058-1946,1820 48TH 90058-1946,1239 BEACH STREET #12,MONTEBELLO,90640-5592,331000,Primary metal mfg.,9,2/4/2015,,"(34.0005, -118.2402)",
0002987766-0001-5,DON LEWIS,DISHORDER.COM,274 S LA FAYETTE PARK PLACE   #132,LOS ANGELES,90057-1359,274 LA FAYETTE PARK 90057-1359,274 S LA FAYETTE PARK PLACE   APARTMENT #132,LOS ANGELES,90057-1374,711300,"Promoters of performing arts, sports, & similar events",13,6/1/2017,,"(34.0672, -118.2798)",
0002960962-0001-0,WFA ENTERTAINMENT LLC,KIDS COTTAGE FURNITURE,8743   WONDERLAND PARK AVENUE,LOS ANGELES,90046-1454,8743 WONDERLAND PARK 90046-1454,7 WINDY KNOLL COURT,GRAPEVINE,76051-3843,541990,"All other professional, scientific, & technical services",4,1/1/2017,,"(34.1139, -118.3854)",
0000444364-0002-8,IGNACIO PERALES ROMO,,263 S PARK VIEW STREET   #2,LOS ANGELES,90057-2061,263 PARK VIEW 90057-2061,2711 CENTERVILLE ROAD,WILMINGTON,19808-1660,452000,General merchandise stores,13,3/1/2014,,"(34.0658, -118.2755)",
0000285240-0001-8,ENCINO EQUITY LLC,ENCINO VALLEY SHOPPING CENTER,17901   VENTURA BLVD,ENCINO,91316-3618,17901 VENTURA 91316-3618,300 S VIA MONTANA,BURBANK,91501-1143,531100,Lessors of real estate (including mini warehouses & self-storage units),5,3/1/1973,,"(34.1644, -118.5223)",
0002831839-0001-5,MEXICAN PRODUCE IMPORT INC,UNIVERSAL AIR CORP,746 S CENTRAL AVENUE   SUITE #A3 96-99,LOS ANGELES,90021-1533,746 CENTRAL 90021-1533,POST OFFICE BOX #21552,LOS ANGELES,90021-0552,311400,Fruit & vegetable preserving & speciality food mfg.,14,5/8/2015,,"(34.0353, -118.2421)",
0002907270-0001-0,KATHERINE GILMAN,DARK & SOMBER GREETIGS,11608   CHAYOTE STREET   SUITE #6,LOS ANGELES,90049-3325,11608 CHAYOTE 90049-3325,1238   10TH STREET   APARTMENT #6,SANTA MONICA,90401-1925,812112,Beauty salons,11,5/2/2016,,"(34.0655, -118.4693)",
0002610969-0001-3,MARO CONTORINIS,CURBELLA IMPORTS,4558 WILLIS AVENUE APARTMENT #114,SHERMAN OAKS,91403-2721,4558 WILLIS 91403-2721,769   PANORAMA PLACE,PASADENA,91105-1020,423940,"Jewelry, watch, precious stone, & precious metals",4,1/1/2012,,"(34.1536, -118.4552)",
0002957780-0001-6,BALFOUR BEATY EQUIPMENT LLC,"MICHAEL LAGA, CPA",10620   TREENA STREET   #300,SAN DIEGO,92131-1140,10620 TREENA 92131-1140,3100   MCKINNON STREET   FLOOR #6TH,DALLAS,75201-1081,532290,Other consumer goods rental,0,10/1/2016,,"(32.9107, -117.1148)",
0002888696-0001-0,SAUL CASTELLANOS,LIBBY BUG ENTERTAINMENT,1802   BELLEVUE AVENUE,LOS ANGELES,90026-4118,1802 BELLEVUE 90026-4118,4426 TUCKAHOE COURT,DOUGLASVILLE,30135-8215,812990,All other personal services,13,10/1/2015,,"(34.0716, -118.2638)",
0002963600-0001-6,AARON SHAPIRO,MEDIASHAP,5083   PARKWAY CALABASAS     SUITE #800,CALABASAS,91302-,5083 PARKWAY CALABASAS 91302,POST OFFICE BOX #3124,BEVERLY HILLS,90212-0124,541800,Advertising & related services,0,8/18/2009,,"(0, 0)",
0000824455-0001-8,INNER CITY ARTS,PAINTED LADIES,720 KOHLER STREET,LOS ANGELES,90021-1518,720 KOHLER 90021-1518,10950 S CENTRAL AVENUE,LOS ANGELES,90059-1024,611000,"Educational services (including schools, colleges, & universities)",14,6/8/1990,,"(34.0371, -118.2429)",
